panel,r1,ang1,r2,ang2,r3,ang3,r4,ang4,r5,ang5
101,0.536,0.393,0.536,0.131,1.198,0.466,1.197,0.059,0.914,0.339
102,0.536,0.917,0.536,0.655,1.198,0.989,1.197,0.583,0.914,0.863
103,0.536,1.44,0.536,1.178,1.198,1.513,1.197,1.106,0.914,1.386
104,0.536,1.964,0.536,1.702,1.198,2.037,1.197,1.63,0.914,1.91
105,0.536,2.488,0.536,2.225,1.198,2.56,1.197,2.153,0.914,2.433
106,0.536,3.011,0.536,2.749,1.198,3.084,1.197,2.677,0.914,2.957
107,0.536,3.535,0.536,3.273,1.198,3.607,1.197,3.201,0.914,3.481
108,0.536,4.058,0.536,3.796,1.198,4.131,1.197,3.724,0.914,4.004
109,0.536,4.582,0.536,4.32,1.198,4.655,1.197,4.248,0.914,4.528
110,0.536,5.106,0.536,4.843,1.198,5.178,1.197,4.771,0.914,5.051
111,0.536,5.629,0.536,5.367,1.198,5.702,1.197,5.295,0.914,5.575
112,0.536,6.153,0.536,5.891,1.198,6.225,1.197,5.819,0.914,6.099
201,1.336,0.471,1.336,0.053,1.753,0.485,1.752,0.041,1.521,0.308
202,1.336,0.995,1.336,0.576,1.753,1.008,1.752,0.564,1.521,0.832
203,1.336,1.519,1.336,1.1,1.753,1.532,1.752,1.088,1.521,1.356
204,1.336,2.042,1.336,1.623,1.753,2.055,1.752,1.612,1.521,1.879
205,1.336,2.566,1.336,2.147,1.753,2.579,1.752,2.135,1.521,2.403
206,1.336,3.089,1.336,2.671,1.753,3.102,1.752,2.659,1.521,2.926
207,1.336,3.613,1.336,3.194,1.753,3.626,1.752,3.182,1.521,3.45
208,1.336,4.137,1.336,3.718,1.753,4.15,1.752,3.706,1.521,3.974
209,1.336,4.66,1.336,4.241,1.753,4.673,1.752,4.23,1.521,4.497
210,1.336,5.184,1.336,4.765,1.753,5.197,1.752,4.753,1.521,5.021
211,1.336,5.707,1.336,5.289,1.753,5.72,1.752,5.277,1.521,5.544
212,1.336,6.231,1.336,5.812,1.753,6.244,1.752,5.8,1.521,6.068
301,1.889,0.225,1.889,0.037,2.538,0.235,2.538,0.029,2.223,0.132
302,1.889,0.487,1.889,0.299,2.538,0.497,2.538,0.29,2.223,0.393
303,1.889,0.749,1.889,0.561,2.538,0.759,2.538,0.552,2.223,0.655
304,1.889,1.01,1.889,0.823,2.538,1.021,2.538,0.814,2.223,0.917
305,1.889,1.272,1.889,1.084,2.538,1.282,2.538,1.076,2.223,1.179
306,1.889,1.534,1.889,1.346,2.538,1.544,2.538,1.338,2.223,1.441
307,1.889,1.796,1.889,1.608,2.538,1.806,2.538,1.599,2.223,1.702
308,1.889,2.058,1.889,1.87,2.538,2.068,2.538,1.861,2.223,1.964
309,1.889,2.319,1.889,2.132,2.538,2.33,2.538,2.123,2.223,2.226
310,1.889,2.581,1.889,2.393,2.538,2.591,2.538,2.385,2.223,2.488
311,1.889,2.843,1.889,2.655,2.538,2.853,2.538,2.647,2.223,2.75
312,1.889,3.105,1.889,2.917,2.538,3.115,2.538,2.908,2.223,3.011
313,1.889,3.367,1.889,3.179,2.538,3.377,2.538,3.17,2.223,3.273
314,1.889,3.628,1.889,3.441,2.538,3.639,2.538,3.432,2.223,3.535
315,1.889,3.89,1.889,3.702,2.538,3.9,2.538,3.694,2.223,3.797
316,1.889,4.152,1.889,3.964,2.538,4.162,2.538,3.956,2.223,4.059
317,1.889,4.414,1.889,4.226,2.538,4.424,2.538,4.217,2.223,4.32
318,1.889,4.676,1.889,4.488,2.538,4.686,2.538,4.479,2.223,4.582
319,1.889,4.937,1.889,4.75,2.538,4.948,2.538,4.741,2.223,4.844
320,1.889,5.199,1.889,5.011,2.538,5.209,2.538,5.003,2.223,5.106
321,1.889,5.461,1.889,5.273,2.538,5.471,2.538,5.265,2.223,5.368
322,1.889,5.723,1.889,5.535,2.538,5.733,2.538,5.526,2.223,5.629
323,1.889,5.985,1.889,5.797,2.538,5.995,2.538,5.788,2.223,5.891
324,1.889,6.246,1.889,6.059,2.538,6.257,2.538,6.05,2.223,6.153
401,2.672,0.236,2.672,0.026,3.154,0.241,3.154,0.023,2.847,0.131
402,2.672,0.498,2.672,0.288,3.154,0.502,3.154,0.285,2.847,0.393
403,2.672,0.759,2.672,0.55,3.154,0.764,3.154,0.547,2.847,0.655
404,2.672,1.021,2.672,0.812,3.154,1.026,3.154,0.809,2.847,0.917
405,2.672,1.283,2.672,1.074,3.154,1.288,3.154,1.07,2.847,1.179
406,2.672,1.545,2.672,1.335,3.154,1.55,3.154,1.332,2.847,1.44
407,2.672,1.807,2.672,1.597,3.154,1.811,3.154,1.594,2.847,1.702
408,2.672,2.068,2.672,1.859,3.154,2.073,3.154,1.856,2.847,1.964
409,2.672,2.33,2.672,2.121,3.154,2.335,3.154,2.118,2.847,2.226
410,2.672,2.592,2.672,2.382,3.154,2.597,3.154,2.379,2.847,2.488
411,2.672,2.854,2.672,2.644,3.154,2.859,3.154,2.641,2.847,2.749
412,2.672,3.116,2.672,2.906,3.154,3.12,3.154,2.903,2.847,3.011
413,2.672,3.377,2.672,3.168,3.154,3.382,3.154,3.165,2.847,3.273
414,2.672,3.639,2.672,3.43,3.154,3.644,3.154,3.427,2.847,3.535
415,2.672,3.901,2.672,3.691,3.154,3.906,3.154,3.688,2.847,3.797
416,2.672,4.163,2.672,3.953,3.154,4.168,3.154,3.95,2.847,4.058
417,2.672,4.425,2.672,4.215,3.154,4.429,3.154,4.212,2.847,4.32
418,2.672,4.686,2.672,4.477,3.154,4.691,3.154,4.474,2.847,4.582
419,2.672,4.948,2.672,4.739,3.154,4.953,3.154,4.736,2.847,4.844
420,2.672,5.21,2.672,5,3.154,5.215,3.154,4.997,2.847,5.106
421,2.672,5.472,2.672,5.262,3.154,5.477,3.154,5.259,2.847,5.367
422,2.672,5.734,2.672,5.524,3.154,5.738,3.154,5.521,2.847,5.629
423,2.672,5.995,2.672,5.786,3.154,6,3.154,5.783,2.847,5.891
424,2.672,6.257,2.672,6.048,3.154,6.262,3.154,6.045,2.847,6.153
501,3.286,0.11,3.286,0.021,3.975,0.114,3.975,0.018,3.642,0.066
502,3.286,0.241,3.286,0.152,3.975,0.245,3.975,0.149,3.642,0.197
503,3.286,0.372,3.286,0.283,3.975,0.376,3.975,0.28,3.642,0.328
504,3.286,0.502,3.286,0.414,3.975,0.507,3.975,0.411,3.642,0.459
505,3.286,0.633,3.286,0.545,3.975,0.638,3.975,0.542,3.642,0.59
506,3.286,0.764,3.286,0.676,3.975,0.769,3.975,0.673,3.642,0.72
507,3.286,0.895,3.286,0.807,3.975,0.9,3.975,0.804,3.642,0.851
508,3.286,1.026,3.286,0.938,3.975,1.03,3.975,0.935,3.642,0.982
509,3.286,1.157,3.286,1.069,3.975,1.161,3.975,1.066,3.642,1.113
510,3.286,1.288,3.286,1.199,3.975,1.292,3.975,1.197,3.642,1.244
511,3.286,1.419,3.286,1.33,3.975,1.423,3.975,1.327,3.642,1.375
512,3.286,1.55,3.286,1.461,3.975,1.554,3.975,1.458,3.642,1.506
513,3.286,1.681,3.286,1.592,3.975,1.685,3.975,1.589,3.642,1.637
514,3.286,1.811,3.286,1.723,3.975,1.816,3.975,1.72,3.642,1.768
515,3.286,1.942,3.286,1.854,3.975,1.947,3.975,1.851,3.642,1.899
516,3.286,2.073,3.286,1.985,3.975,2.078,3.975,1.982,3.642,2.029
517,3.286,2.204,3.286,2.116,3.975,2.209,3.975,2.113,3.642,2.16
518,3.286,2.335,3.286,2.247,3.975,2.339,3.975,2.244,3.642,2.291
519,3.286,2.466,3.286,2.378,3.975,2.47,3.975,2.375,3.642,2.422
520,3.286,2.597,3.286,2.508,3.975,2.601,3.975,2.506,3.642,2.553
521,3.286,2.728,3.286,2.639,3.975,2.732,3.975,2.636,3.642,2.684
522,3.286,2.859,3.286,2.77,3.975,2.863,3.975,2.767,3.642,2.815
523,3.286,2.99,3.286,2.901,3.975,2.994,3.975,2.898,3.642,2.946
524,3.286,3.12,3.286,3.032,3.975,3.125,3.975,3.029,3.642,3.077
525,3.286,3.251,3.286,3.163,3.975,3.256,3.975,3.16,3.642,3.208
526,3.286,3.382,3.286,3.294,3.975,3.387,3.975,3.291,3.642,3.338
527,3.286,3.513,3.286,3.425,3.975,3.518,3.975,3.422,3.642,3.469
528,3.286,3.644,3.286,3.556,3.975,3.648,3.975,3.553,3.642,3.6
529,3.286,3.775,3.286,3.687,3.975,3.779,3.975,3.684,3.642,3.731
530,3.286,3.906,3.286,3.817,3.975,3.91,3.975,3.815,3.642,3.862
531,3.286,4.037,3.286,3.948,3.975,4.041,3.975,3.945,3.642,3.993
532,3.286,4.168,3.286,4.079,3.975,4.172,3.975,4.076,3.642,4.124
533,3.286,4.299,3.286,4.21,3.975,4.303,3.975,4.207,3.642,4.255
534,3.286,4.429,3.286,4.341,3.975,4.434,3.975,4.338,3.642,4.386
535,3.286,4.56,3.286,4.472,3.975,4.565,3.975,4.469,3.642,4.517
536,3.286,4.691,3.286,4.603,3.975,4.696,3.975,4.6,3.642,4.647
537,3.286,4.822,3.286,4.734,3.975,4.827,3.975,4.731,3.642,4.778
538,3.286,4.953,3.286,4.865,3.975,4.957,3.975,4.862,3.642,4.909
539,3.286,5.084,3.286,4.996,3.975,5.088,3.975,4.993,3.642,5.04
540,3.286,5.215,3.286,5.126,3.975,5.219,3.975,5.124,3.642,5.171
541,3.286,5.346,3.286,5.257,3.975,5.35,3.975,5.254,3.642,5.302
542,3.286,5.477,3.286,5.388,3.975,5.481,3.975,5.385,3.642,5.433
543,3.286,5.608,3.286,5.519,3.975,5.612,3.975,5.516,3.642,5.564
544,3.286,5.738,3.286,5.65,3.975,5.743,3.975,5.647,3.642,5.695
545,3.286,5.869,3.286,5.781,3.975,5.874,3.975,5.778,3.642,5.826
546,3.286,6,3.286,5.912,3.975,6.005,3.975,5.909,3.642,5.956
547,3.286,6.131,3.286,6.043,3.975,6.136,3.975,6.04,3.642,6.087
548,3.286,6.262,3.286,6.174,3.975,6.266,3.975,6.171,3.642,6.218
601,4.104,0.114,4.104,0.017,4.717,0.117,4.717,0.016,4.414,0.066
602,4.104,0.245,4.104,0.148,4.717,0.248,4.717,0.147,4.414,0.197
603,4.104,0.376,4.104,0.279,4.717,0.379,4.717,0.278,4.414,0.328
604,4.104,0.507,4.104,0.41,4.717,0.51,4.717,0.408,4.414,0.459
605,4.104,0.638,4.104,0.541,4.717,0.641,4.717,0.539,4.414,0.59
606,4.104,0.768,4.104,0.672,4.717,0.772,4.717,0.67,4.414,0.721
607,4.104,0.899,4.104,0.803,4.717,0.902,4.717,0.801,4.414,0.851
608,4.104,1.03,4.104,0.933,4.717,1.033,4.717,0.932,4.414,0.982
609,4.104,1.161,4.104,1.064,4.717,1.164,4.717,1.063,4.414,1.113
610,4.104,1.292,4.104,1.195,4.717,1.295,4.717,1.194,4.414,1.244
611,4.104,1.423,4.104,1.326,4.717,1.426,4.717,1.325,4.414,1.375
612,4.104,1.554,4.104,1.457,4.717,1.557,4.717,1.456,4.414,1.506
613,4.104,1.685,4.104,1.588,4.717,1.688,4.717,1.587,4.414,1.637
614,4.104,1.816,4.104,1.719,4.717,1.819,4.717,1.717,4.414,1.768
615,4.104,1.947,4.104,1.85,4.717,1.95,4.717,1.848,4.414,1.899
616,4.104,2.077,4.104,1.981,4.717,2.081,4.717,1.979,4.414,2.03
617,4.104,2.208,4.104,2.112,4.717,2.211,4.717,2.11,4.414,2.16
618,4.104,2.339,4.104,2.242,4.717,2.342,4.717,2.241,4.414,2.291
619,4.104,2.47,4.104,2.373,4.717,2.473,4.717,2.372,4.414,2.422
620,4.104,2.601,4.104,2.504,4.717,2.604,4.717,2.503,4.414,2.553
621,4.104,2.732,4.104,2.635,4.717,2.735,4.717,2.634,4.414,2.684
622,4.104,2.863,4.104,2.766,4.717,2.866,4.717,2.765,4.414,2.815
623,4.104,2.994,4.104,2.897,4.717,2.997,4.717,2.896,4.414,2.946
624,4.104,3.125,4.104,3.028,4.717,3.128,4.717,3.026,4.414,3.077
625,4.104,3.256,4.104,3.159,4.717,3.259,4.717,3.157,4.414,3.208
626,4.104,3.386,4.104,3.29,4.717,3.39,4.717,3.288,4.414,3.339
627,4.104,3.517,4.104,3.421,4.717,3.52,4.717,3.419,4.414,3.469
628,4.104,3.648,4.104,3.551,4.717,3.651,4.717,3.55,4.414,3.6
629,4.104,3.779,4.104,3.682,4.717,3.782,4.717,3.681,4.414,3.731
630,4.104,3.91,4.104,3.813,4.717,3.913,4.717,3.812,4.414,3.862
631,4.104,4.041,4.104,3.944,4.717,4.044,4.717,3.943,4.414,3.993
632,4.104,4.172,4.104,4.075,4.717,4.175,4.717,4.074,4.414,4.124
633,4.104,4.303,4.104,4.206,4.717,4.306,4.717,4.205,4.414,4.255
634,4.104,4.434,4.104,4.337,4.717,4.437,4.717,4.335,4.414,4.386
635,4.104,4.565,4.104,4.468,4.717,4.568,4.717,4.466,4.414,4.517
636,4.104,4.695,4.104,4.599,4.717,4.699,4.717,4.597,4.414,4.648
